generation,best_fitness,average_fitness
52,1923.7808799717418,1922.8292366038584
53,1923.7808799717418,1922.8058468012578
54,1923.796769855937,1922.9899277484506
55,1923.796769855937,1922.9051640421142
56,1923.808338964165,1922.5976168333261
57,1923.808338964165,1922.6028727194428
58,1923.808338964165,1922.839971415637
59,1923.808338964165,1923.0016456393796
60,1923.808338964165,1923.1096897111286
61,1923.808338964165,1922.9628695744202
62,1923.8096106111173,1922.7657450205274
63,1923.8096106111173,1922.7217103300495
64,1923.8211797193449,1922.6744925156804
65,1923.8211797193449,1922.6198404643733
66,1923.8211797193449,1922.6684873037582
67,1923.8211797193449,1922.9903737929244
68,1923.8267763605672,1923.0039725601525
69,1923.8267763605672,1922.5829207896618
70,1923.8267763605672,1922.876792895728
71,1923.8267763605672,1922.721436021749
72,1923.8267763605672,1922.4885674046027
73,1923.832921897281,1922.7497111309765
74,1923.8385185385032,1922.893938611458
75,1923.8385185385032,1923.0235838598185
76,1923.8385185385032,1922.8605142875467
77,1923.8385185385032,1922.744853377739
78,1923.8387965635122,1922.6021664235634
79,1923.8533102731446,1922.7881933056294
80,1923.8533102731446,1922.9001667228963
81,1923.853588298154,1922.9744509745492
82,1923.853588298154,1922.8235274931176
83,1923.8633839249649,1922.7489313097913
84,1923.8636619499741,1922.8563520675975
85,1923.8636619499741,1922.8354231779053
86,1923.8702128597145,1923.0014577701247
87,1923.880286511535,1923.1153399626253
88,1923.8805645365437,1922.9494130237504
89,1923.8805645365437,1923.0213792500456
90,1923.884369061103,1922.8479390698274
91,1923.884369061103,1922.9033202600338
92,1923.884369061103,1922.9933656928915
93,1923.8886450976183,1922.8770182278956
94,1923.8886450976183,1922.966074055235
95,1923.8886450976183,1922.7895126154956
96,1923.8886450976183,1922.6299601392432
97,1923.8886450976183,1922.8206519951384
98,1923.8886450976183,1922.9556135300388
99,1923.8886450976183,1922.8912871694163
100,1923.8886450976183,1922.9020050447025
101,1923.8886450976183,1922.8471026048528
102,1923.8886450976183,1922.7476896006779
103,1923.8886450976183,1922.8558196045533
104,1923.8886450976183,1922.5475696763358
105,1923.8886450976183,1922.8820832896495
106,1923.8886450976183,1922.994950098307
107,1923.8886450976183,1922.942615227041
108,1923.8886450976183,1923.0811364566346
109,1923.8886450976183,1922.8462727539022
110,1923.8886450976183,1922.8467363270224
111,1923.8886450976183,1922.6429728543906
112,1923.8886450976183,1922.8531299033166
113,1923.8886450976183,1922.992648901309
114,1923.8886450976183,1922.8989710117605
115,1923.8886450976183,1922.7783461058693
116,1923.8886450976183,1922.7870339670515
117,1923.8886450976183,1922.838864248451
118,1923.8886450976183,1922.7845392672502
119,1923.8886450976183,1923.0307390021053
120,1923.8886450976183,1923.1938052708779
121,1923.8886450976183,1922.9958455114217
122,1923.8886450976183,1923.1188361445902
123,1923.8886450976183,1922.8035652064732
124,1923.8886450976183,1922.8225375295892
125,1923.8886450976183,1922.9343260714688
126,1923.8886450976183,1923.004736432022
127,1923.8886450976183,1922.7926395393954
128,1923.8886450976183,1922.7235695314166
129,1923.8886450976183,1923.133758373134
130,1923.8886450976183,1923.0179327457142
131,1923.8886450976183,1923.124108074015
132,1923.8886450976183,1922.956062263912
133,1923.8886450976183,1922.9703660889786
134,1923.8886450976183,1922.6688702858335
135,1923.8886450976183,1922.7511388690152
136,1923.8886450976183,1923.0028876130802
137,1923.8886450976183,1922.7759027164054
138,1923.8886450976183,1923.0903228209804
139,1923.8886450976183,1922.878027824914
140,1923.8886450976183,1922.7355899475815
141,1923.8886450976183,1922.905678781134
142,1923.8886450976183,1923.2581182239926
143,1923.8886450976183,1922.978802021462
144,1923.8886450976183,1922.7574867613419
145,1923.8886450976183,1923.0576324071508
146,1923.8893571165856,1922.8643926090483
147,1923.8893571165856,1923.1269855466055
148,1923.8893571165856,1922.8079647686952
149,1923.8893571165856,1922.8700614803909
150,1923.8893571165856,1922.8656220195394
151,1923.8893571165856,1922.7939520114844
152,1923.8893571165856,1922.9152027171083
153,1923.8893571165856,1922.823792186279
154,1923.8893571165856,1922.864494231334
