window_number,window_start,window_end,best_generation,best_fitness,average_environment_score,environment_score_std,minimum_environment_score,maximum_environment_score,ga_total_feed_g,fixed_total_feed_g,feed_saved_g,feed_saved_percent,cost_saved,ga_estimated_final_abw_g,fixed_estimated_final_abw_g,abw_improvement_g,ga_fitness_score,fixed_fitness_score,fitness_improvement,growth_target_status,ga_schedule_g
1,2024-01-01,2024-01-07,197,1884.8075924118434,0.7880999999999999,1.1102230246251565e-16,0.7880999999999998,0.7880999999999998,912.9404598678152,1050.0,137.0595401321848,13.053289536398552,3.803402238668127,22.028100562072296,21.856168026179823,0.17193253589247348,1884.8075924118434,1806.0625373037735,78.74505510806989,Target Growth Achieved,130.35;130.44;130.45;130.40;130.44;130.41;130.45
2,2024-01-02,2024-01-08,181,1884.8249859731873,0.7880999999999999,1.1102230246251565e-16,0.7880999999999998,0.7880999999999998,913.238238780419,1050.0,136.761761219581,13.024929639960096,3.7951388738433707,22.028774829451187,21.856168026179823,0.17260680327136413,1884.8249859731873,1806.0625373037735,78.76244866941374,Target Growth Achieved,130.46;130.46;130.46;130.47;130.46;130.46;130.46
3,2024-01-03,2024-01-09,191,1884.8198020554757,0.7880999999999999,1.1102230246251565e-16,0.7880999999999998,0.7880999999999998,913.1399157730674,1050.0,136.8600842269326,13.034293735898341,3.7978673372973795,22.028558408119252,21.856168026179823,0.17239038193942946,1884.8198020554757,1806.0625373037735,78.75726475170222,Target Growth Achieved,130.44;130.45;130.46;130.45;130.46;130.46;130.42
4,2024-01-04,2024-01-10,184,1884.8111758402329,0.7880999999999999,1.1102230246251565e-16,0.7880999999999998,0.7880999999999998,913.1231366747915,1050.0,136.87686332520855,13.035891745257958,3.7983329572745355,22.028435457819345,21.856168026179823,0.17226743163952207,1884.811175840233,1806.0625373037735,78.74863853645957,Target Growth Achieved,130.49;130.40;130.46;130.42;130.45;130.46;130.44
5,2024-01-05,2024-01-11,194,1884.8142885115915,0.7880999999999999,1.1102230246251565e-16,0.7880999999999998,0.7880999999999998,913.0878149687001,1050.0,136.91218503129994,13.039255717266663,3.799313134618572,22.028412987512347,21.856168026179823,0.17224496133252387,1884.8142885115915,1806.0625373037735,78.75175120781796,Target Growth Achieved,130.44;130.43;130.41;130.43;130.45;130.47;130.46
6,2024-01-06,2024-01-12,186,1884.8223764786708,0.7880999999999999,1.1102230246251565e-16,0.7880999999999998,0.7880999999999998,913.1819713747212,1050.0,136.81802862527877,13.03028844050274,3.796700294351485,22.028654945702055,21.856168026179823,0.17248691952223183,1884.8223764786705,1806.0625373037735,78.75983917489702,Target Growth Achieved,130.46;130.46;130.43;130.45;130.46;130.46;130.46
7,2024-01-07,2024-01-13,192,1884.8115852530855,0.7880999999999999,1.1102230246251565e-16,0.7880999999999998,0.7880999999999998,913.0056866498925,1050.0,136.99431335010752,13.047077461915002,3.8015921954654814,22.028250288520812,21.856168026179823,0.17208226234098944,1884.8115852530852,1806.0625373037735,78.74904794931172,Target Growth Achieved,130.44;130.46;130.40;130.44;130.44;130.40;130.43
8,2024-01-08,2024-01-14,197,1884.8048380198206,0.7880999999999999,1.1102230246251565e-16,0.7880999999999998,0.7880999999999998,913.1952648840719,1050.0,136.8047351159281,13.029022391993154,3.796331399467004,22.02848154709041,21.856168026179823,0.17231352091058838,1884.8048380198206,1806.0625373037735,78.74230071604711,Target Growth Achieved,130.40;130.46;130.47;130.47;130.46;130.42;130.52
9,2024-01-09,2024-01-15,186,1884.8150285832567,0.7880999999999999,1.1102230246251565e-16,0.7880999999999998,0.7880999999999998,913.0680414865152,1050.0,136.9319585134848,13.041138906046172,3.7998618487492024,22.028389270205366,21.856168026179823,0.17222124402554329,1884.8150285832562,1806.0625373037735,78.75249127948268,Target Growth Achieved,130.45;130.47;130.44;130.46;130.45;130.41;130.39
10,2024-01-10,2024-01-16,184,1884.818464995631,0.7880999999999999,1.1102230246251565e-16,0.7880999999999998,0.7880999999999998,913.1186455128797,1050.0,136.88135448712035,13.036319474963843,3.7984575870175874,22.02850919381114,21.856168026179823,0.17234116763131624,1884.818464995631,1806.0625373037735,78.75592769185755,Target Growth Achieved,130.46;130.46;130.45;130.46;130.41;130.42;130.44
11,2024-01-11,2024-01-17,198,1884.8155956750707,0.7880999999999999,1.1102230246251565e-16,0.7880999999999998,0.7880999999999998,913.1178689109179,1050.0,136.88213108908212,13.036393437055441,3.798479137722026,22.0284760580178,21.856168026179823,0.1723080318379786,1884.8155956750707,1806.0625373037735,78.75305837129713,Target Growth Achieved,130.47;130.45;130.45;130.42;130.44;130.42;130.47
12,2024-01-12,2024-01-18,193,1884.8111176930001,0.7880999999999999,1.1102230246251565e-16,0.7880999999999998,0.7880999999999998,913.0469941779687,1050.0,136.9530058220313,13.043143411622026,3.8004459115613685,22.028311817917835,21.856168026179823,0.1721437917380122,1884.8111176930001,1806.0625373037735,78.74858038922662,Target Growth Achieved,130.45;130.46;130.37;130.47;130.46;130.45;130.39
13,2024-01-13,2024-01-19,191,1884.8154602193656,0.7880999999999999,1.1102230246251565e-16,0.7880999999999998,0.7880999999999998,913.1323182065673,1050.0,136.86768179343267,13.035017313660255,3.7980781697677557,22.02849789306222,21.856168026179823,0.1723298668823965,1884.8154602193654,1806.0625373037735,78.75292291559185,Target Growth Achieved,130.44;130.40;130.46;130.45;130.44;130.46;130.48
